"g_id","uid","вид.туризма","регион","название.объекта","источник.данных","POINT_X","POINT_Y","классификация.по.упоминаемости.в.соц.сетях","классификация.по.кол.ву.комментариев.в.соц.сетях","классификация.по.кол.ву.фотографий.рядом.с.точками.притяжения","классификация.по.исходным.данным","общая.классификация","индекс","финальный.уровень.обьекта","финальная.значимость","регион.входа","точка.входа","расстояние.до.ближайшей.точки.входа","попадание.в.зону.2х.часовой.доступности.авто","попадание.в.зону.2х.часовой.доступности.жд","обеспеченность.ТП.мобильной.связью","обеспеченность.ТП.мобильным.интернетом"
"27638","26701","Культурный","Омская область","Дом жилой  со столярно-кузнечной мастерской С.И.Иванова","Основная","73.365104","54.996118","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","780","1","0","1","1"
"27719","26782","Культурный","Омская область","Дом доходный Н.Н.Машинского","Основная","73.37812","54.97438","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","1782","1","0","1","1"
"28720","27783","Культурный","Омская область","Дом-памятник архитектуры","Основная","73.363172","54.989946","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","330","1","0","1","1"
"29288","28351","Культурный","Омская область","Здание бывшего реального училища Лимонова","Основная","73.378884","54.974225","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","1816","1","0","1","1"
"29526","28589","Культурный","Омская область","Могила новатора сибирского садоводства Александра Дмитриевича Кизюрина","Основная","73.366568","55.033682","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","4937","1","0","1","1"
"29572","28635","Культурный","Омская область","Братское кладбище советских воинов, умерших в госпиталях города Омска в 1941-1946 годах","Основная","73.3643069","55.03240947","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","4801","1","0","1","1"
"29598","28661","Культурный","Омская область","Мемориал памяти воинам-землякам, участникам Гражданской и Великой Отечественной войн","Основная","74.56536709","55.06333392","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","77002","1","0","1","1"
"29742","28805","Культурный","Омская область","Мемориальный сквер ""Памяти борцов революции""","Основная","73.377366","54.981691","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","1034","1","0","1","1"
"29776","28839","Культурный","Омская область","Место расстрела партизан белогвардейцами в сентябре 1919 г.","Основная","73.62189916","56.47200505","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","165842","0","0","1","1"
"30109","29172","Культурный","Омская область","Бывшая церковь во имя Св. Николая","Основная","73.395341","55.004231","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","2400","1","0","1","1"
"30116","29179","Культурный","Омская область","Памятник землякам, погибшим в годы Великой Отечественной войны 1941 - 1945 гг.","Основная","71.26724969","54.91532736","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","134855","0","0","1","1"
"30928","29991","Культурный","Омская область","Место, где располагались боевые позиции партизан при обстреле колчаковских пароходов, идущих по Иртышу","Основная","74.56309067","56.87732733","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","223072","0","0","1","1"
"31126","30189","Культурный","Омская область","Братская могила красногвардейцев, расстрелянных белогвардейцами в 1918 году","Основная","74.67796751","56.24567047","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","162396","0","0","1","1"
"31127","30190","Культурный","Омская область","Братская могила 6-ти красноармейцев, погибших в 1919 году боях с белогвардейцами","Основная","72.69000755","55.15243687","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","46975","1","1","1","1"
"31177","30240","Культурный","Омская область","Памятник землякам, погибшим на фронтах Великой Отечественной войны в 1941-1945 гг.","Основная","72.6923518","55.15613225","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","46996","1","1","1","1"
"31253","30316","Культурный","Омская область","Памятник В.И. Ленину","Основная","73.55580331","54.2053915","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","88104","1","0","1","1"
"34325","33388","Культурный","Омская область","Мемориал памяти подвигу рабочих завода им. Куйбышева в тылу и на фронтах Великой Отечественной войны","Основная","73.37901653","55.00348034","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","1719","1","0","1","1"
"34349","33412","Культурный","Омская область","Памятник труду первоцелиников - трактор ДТ-54 на пьедестале, установленный в 10 годовщину освоения целины","Основная","74.49494271","54.05199829","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","127316","0","0","1","1"
"34466","33529","Культурный","Омская область","Место казни 49 борцов за власть Советов","Основная","72.19290616","55.86596079","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","122723","0","0","1","1"
"34554","33617","Культурный","Омская область","Братская могила, в которой похоронены коммунист Э.Ф. Яузем, комсомолка Л. Крингель, А.Я. Яузем, погибшие в 1921 г.","Основная","71.263522","55.755464","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","118292","0","0","1","1"
"34990","34053","Культурный","Омская область","Братская могила борцов за Власть Советов, погибших в годы гражданской войны","Основная","74.56540277","55.06334637","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","77004","1","0","1","1"
"37643","36706","Культурный","Омская область","Здание бывшей табачной фабрики Серебрякова","Основная","73.393122","54.983081","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","1740","1","0","1","1"
"39065","38128","Культурный","Омская область","Дом жилой Ю.И.Гвоздярской","Основная","73.368877","54.995163","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","649","1","0","1","1"
"49955","49018","Культурный","Омская область","Дом жилой","Основная","73.382109","54.996702","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","1209","1","0","1","1"
"51061","50124","Культурный","Омская область","Могила народного артиста РСФСР  Алексея Федоровича Теплова","Основная","73.385918","55.032887","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","4978","1","0","1","1"
"51079","50142","Культурный","Омская область","Село Чекрушево - первая русская крестьянская деревня Прииртышья,  основанная в 1600 г.","Основная","74.270165","56.916935","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","221887","0","0","1","1"
"51139","50202","Культурный","Омская область","Памятный знак в память строителей, погибших в годы Великой Отечественной войны 1941-1945 гг.","Основная","73.431444","54.949994","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","5965","1","1","1","1"
"51160","50223","Культурный","Омская область","Могила Героя Советского Союза Алексея Петровича Дмитриева","Основная","73.385918","55.032887","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","4978","1","0","1","1"
"51167","50230","Культурный","Омская область","Моглила Героя Советского Союза  Ивана Михайловича Шпигунова","Основная","73.385918","55.032887","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","4978","1","0","1","1"
"51173","50236","Культурный","Омская область","Могила советского скульптора, писателя  Петра Петровича Карякина","Основная","73.528076","55.003136","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","10346","1","0","1","1"
"51353","50416","Культурный","Омская область","Могила народного артиста РСФСР, заслуженного деятеля искусств Якова Марковича Киржнера","Основная","73.385918","55.032887","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","4978","1","0","1","1"
"51365","50428","Культурный","Омская область","Участок Московско-Сибирского тракта","Основная","74.61528","56.580406","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","193646","0","0","1","1"
"51397","50460","Культурный","Омская область","Деревянный дом в Тюкалинске","Основная","72.191913","55.870612","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","123170","0","0","1","1"
"51408","50471","Культурный","Омская область","Лагерь и казармы 11-й стрелковой артиллерийской бригады: Управление бригады","Основная","73.382226","54.97763","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","1583","1","0","1","1"
"51414","50477","Культурный","Омская область","Могила народного артиста РСФСР Ножери Давидовича Чонишвили","Основная","73.385918","55.032887","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","4978","1","0","1","1"
"51417","50480","Культурный","Омская область","Братская могила партизан","Основная","74.892276","57.166691","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","","0","0","1","0"
"51434","50497","Культурный","Омская область","Могила Героя Социалистического Труда, партийного и советского работника  Тихона Петровича Шумакова","Основная","73.385918","55.032887","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","4978","1","0","1","1"
"51455","50518","Культурный","Омская область","Могила Заслуженного артиста РСФСР  Виктора Дмитриевича Лаврова","Основная","73.385918","55.032887","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","4978","1","0","1","1"
"51482","50545","Культурный","Омская область","Складское помещение","Основная","73.334274","55.035276","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","5555","1","0","1","1"
"51490","50553","Культурный","Омская область","Могила Героя Социалистического Труда, организатора с/х производства Артура Петровича Майорова","Основная","73.385918","55.032887","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","4978","1","0","1","1"
"51586","50649","Культурный","Омская область","Бывшая ветеринарно-фельдшерская школа","Основная","73.359346","55.003637","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","1690","1","0","1","1"
"51620","50683","Культурный","Омская область","Здание железнодорожного вокзала, возле которого в 1923 году выступал с речью Михаил Иванович Калинин","Основная","74.581782","55.052608","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","77939","1","1","1","1"
"51637","50700","Культурный","Омская область","Ров и вал Волчьего редута, снованного  в XVIII веке","Основная","72.019167","55.00581","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","86354","1","0","1","1"
"51640","50703","Культурный","Омская область","Могила Героя Социалистического Труда, заслуженного строителя РСФСР  Михаила Федоровича Жука","Основная","73.385918","55.032887","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","4978","1","0","1","1"
"51663","50726","Культурный","Омская область","Здание бывшей Калачинской МТС - первой МТС Омской области, созданной в 1930 году","Основная","74.567768","55.047038","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","76997","1","1","1","1"
"51668","50731","Культурный","Омская область","Могила контр-адмирала Алексея Модестовича Лаврова","Основная","73.385918","55.032887","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","4978","1","0","1","1"
"51688","50751","Культурный","Омская область","Лавка С.Ж.Кожевникова","Основная","74.206439","55.845188","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","109070","0","0","1","1"
"51832","50895","Культурный","Омская область","Могила Заслуженного строителя РСФСР Берко Шмулевича Цемента","Основная","73.385918","55.032887","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","4978","1","0","1","1"
"51860","50923","Культурный","Омская область","Памятник учителям и ученикам школы №  37, погибшим в годы Великой Отечественной войны 1941-1945 гг.","Основная","73.391083","54.981014","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","1733","1","0","1","1"
"51870","50933","Культурный","Омская область","Памятник В.И. Ленину","Основная","73.415167","54.96054","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","4396","1","1","1","1"
"51871","50934","Культурный","Омская область","Могила русского поэта Тимофея Максимовича  Белозерова","Основная","73.528076","55.003136","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","10346","1","0","1","1"
"51886","50949","Культурный","Омская область","Братская могила партизан","Основная","74.724695","57.043654","0","0","0","1","0.4","0.4","Региональные","Региональные","Омская область","Омск","243862","0","0","0","0"
